Country,Preservation Requests,Preservation Accounts Preserved,Total Requests,Number of Requests Where Some Data Produced,Total Requests Accounts,Total Requests Percentage,Legal Process Request Total,Legal Number of Requests Where Some Data Produced,Legal Process Request Total Accounts,Legal Process Request Total Percentage,Emergency Request Total,ER Number of Requests Where Some Data Produced,Emergency Request Total Accounts,Emergency Request Total Percentage,Search Warrant,Search Warrant Accounts,Search Warrant Percentage,Subpoena,Subpoena Accounts,Subpoena Percentage,Court Order (Other),Court Order (Other) Accounts,Court Order (Other) Percentage,MLAT Search Warrant,MLAT Search Warrant Accounts,MLAT Search Warrant Percentage,MLAT Order,MLAT Order Accounts,MLAT Order Percentage,Court Order (18 USC 2703(d)),Court Order (18 USC 2703(d)) Accounts,Court Order (18 USC 2703(d)) Percentage,Pen Register/Trap and Trace,Pen Register/Trap and Trace Accounts,Pen Register/Trap and Trace Percentage,Title III,Title III Accounts,Title III Percentage,FISA Content Requests,FISA Content Requests Accounts,FISA Content Requests Percentage,FISA Non-Content Requests,FISA Non-Content Requests Accounts,FISA Non-Content Requests Percentage,NSLs,NSLs Accounts,NSLs Percentage
Afghanistan,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aland Islands,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,75,107,20,7,27,35%,17,6,23,35%,3,1,4,33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,0,0,9,2,18,22%,2,0,2,0%,7,2,16,29%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Samoa,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,0,0,7,5,8,71%,7,5,8,71%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anguilla,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antarctica,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,"7,038","10,049","3,724","2,557","5,564",69%,"3,383","2,327","5,027",69%,341,230,537,67%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armenia,42,55,14,12,54,86%,12,10,51,83%,2,2,3,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,430,661,"2,479","2,037","2,861",82%,"2,302","1,890","2,587",82%,177,147,274,83%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,"1,186","1,496","1,165","1,002","1,561",86%,"1,136",981,"1,490",86%,29,21,71,72%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,3,3,6,1,10,17%,4,1,7,25%,2,0,3,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,0,0,2,1,2,50%,1,0,1,0%,1,1,1,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,37,52,836,542,"1,278",65%,772,539,"1,191",70%,64,3,87,5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbados,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,28,37,"1,006",836,"1,618",83%,972,807,"1,573",83%,34,29,45,85%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belize,8,11,5,3,6,60%,0,0,0,0%,5,3,6,60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,0,0,1,0,1,0%,1,0,1,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bermuda,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,12,19,13,2,19,15%,10,0,14,0%,3,2,5,67%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bonaire, Sint Eustatius and Saba",1,1,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,88,120,72,53,136,74%,70,52,134,74%,2,1,2,50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Botswana,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
