Country,Preservation Requests,Preservation Accounts Preserved,Total Requests,Number of Requests Where Some Data Produced,Total Requests Accounts,Total Requests Percentage,Legal Process Request Total,Legal Number of Requests Where Some Data Produced,Legal Process Request Total Accounts,Legal Process Request Total Percentage,Emergency Request Total,ER Number of Requests Where Some Data Produced,Emergency Request Total Accounts,Emergency Request Total Percentage,Search Warrant,Search Warrant Accounts,Search Warrant Percentage,Subpoena,Subpoena Accounts,Subpoena Percentage,Court Order (Other),Court Order (Other) Accounts,Court Order (Other) Percentage,MLAT Search Warrant,MLAT Search Warrant Accounts,MLAT Search Warrant Percentage,MLAT Order,MLAT Order Accounts,MLAT Order Percentage,Court Order (18 USC 2703(d)),Court Order (18 USC 2703(d)) Accounts,Court Order (18 USC 2703(d)) Percentage,Pen Register/Trap and Trace,Pen Register/Trap and Trace Accounts,Pen Register/Trap and Trace Percentage,Title III,Title III Accounts,Title III Percentage,FISA Content Requests,FISA Content Requests Accounts,FISA Content Requests Percentage,FISA Non-Content Requests,FISA Non-Content Requests Accounts,FISA Non-Content Requests Percentage,NSLs,NSLs Accounts,NSLs Percentage
Afghanistan,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aland Islands,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,7,10,9,8,11,89%,9,8,11,89%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Samoa,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,0,0,3,2,4,67%,3,2,4,67%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anguilla,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antarctica,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,"1,792","2,892",2149,1702,3142,79%,1934,1556,2808,80%,215,146,334,68%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armenia,31,34,10,6,17,60%,10,6,17,60%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,367,544,943,757,1200,80%,891,725,1138,81%,52,32,62,62%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,67,88,108,53,159,49%,90,39,129,43%,18,14,30,78%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,16,16,179,81,298,45%,84,42,159,50%,95,39,139,41%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbados,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,25,37,649,570,1054,88%,615,545,1009,89%,34,25,45,74%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belize,1,1,1,0,1,0%,0,0,0,0%,1,0,1,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,1,1,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bermuda,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,0,0,3,1,2,33%,0,0,0,0%,3,1,2,33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,1,2,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bonaire, Sint Eustatius and Saba",0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,126,255,61,45,102,74%,55,43,95,78%,6,2,7,33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Botswana,2,22,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bouvet Island,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
