Country,Content Restrictions,Preservation Requests,Preservation Accounts Preserved,Takedown reports,Percent Witheld,Internet Disruptions,Total Requests,Total Requests Accounts,Total Requests Percentage,Legal Process Request Total,Legal Process Request Total Accounts,Legal Process Request Total Percentage,Emergency Request Total,Emergency Request Total Accounts,Emergency Request Total Percentage,Search Warrant,Search Warrant Accounts,Search Warrant Percentage,Subpoena,Subpoena Accounts,Subpoena Percentage,Court Order (Other),Court Order (Other) Accounts,Court Order (Other) Percentage,MLAT Search Warrant,MLAT Search Warrant Accounts,MLAT Search Warrant Percentage,MLAT Order,MLAT Order Accounts,MLAT Order Percentage,Court Order (18 USC 2703(d)),Court Order (18 USC 2703(d)) Accounts,Court Order (18 USC 2703(d)) Percentage,Pen Register/Trap and Trace,Pen Register/Trap and Trace Accounts,Pen Register/Trap and Trace Percentage,Title III,Title III Accounts,Title III Percentage,FISA Content Requests,FISA Content Requests Accounts,FISA Content Requests Percentage,FISA Non-Content Requests,FISA Non-Content Requests Accounts,FISA Non-Content Requests Percentage,NSLs,NSLs Accounts,NSLs Percentage
Afghanistan,0,0,0,0,0,0,0,0,0%,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,0,2,2,0,0,0,14,23,93%,14,23,93%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,0,0,0,0,0,9,1,0,0%,0,0,0%,1,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,1,961,1473,0,0,0,1290,1902,80%,1213,1759,82%,77,143,62%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armenia,0,9,13,0,0,0,7,9,71%,7,9,71%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,16,325,481,0,0,0,772,934,73%,742,892,73%,30,42,63%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,148,31,42,0,0,0,90,103,53%,78,87,51%,12,16,67%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,0,0,0,0,0,0,0,0,0%,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,0,0,0,0,0,0,0,0,0%,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,0,4,4,0,0,0,60,95,47%,17,36,29%,43,59,53%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,176,31,43,0,0,0,552,803,87%,531,779,87%,21,24,76%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,0,1,1,0,0,0,3,3,67%,1,1,0%,2,2,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,0,32,99,0,0,0,26,86,81%,22,77,86%,4,9,50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
