Country,Content Restricted,Preservation Requests,Preservation Accounts Preserved,Takedown reports,Percent Witheld,Internet Disruptions,Total Requests,Total Requests Accounts,Total Requests Percentage,Legal Process Request Total,Legal Process Request Total Accounts,Legal Process Request Total Percentage,Emergency Request Total,Emergency Request Total Accounts,Emergency Request Total Percentage,Emergency Disclosures,Emergency Disclosures Accounts,Emergency Disclosures Percentage,Search Warrant,Search Warrant Accounts,Search Warrant Percentage,Subpoena,Subpoena Accounts,Subpoena Percentage,Court Order (Other),Court Order (Other) Accounts,Court Order (Other) Percentage,MLAT Search Warrant,MLAT Search Warrant Accounts,MLAT Search Warrant Percentage,MLAT Order,MLAT Order Accounts,MLAT Order Percentage,Court Order (18 USC 2703(d)),Court Order (18 USC 2703(d)) Accounts,Court Order (18 USC 2703(d)) Percentage,Pen Register/Trap and Trace,Pen Register/Trap and Trace Accounts,Pen Register/Trap and Trace Percentage,Title III,Title III Accounts,Title III Percentage,FISA Content Requests,FISA Content Requests Accounts,FISA Content Requests Percentage,FISA Non-Content Requests,FISA Non-Content Requests Accounts,FISA Non-Content Requests Percentage,NSLs,NSLs Accounts,NSLs Percentage
United States,0,48836,84497,0,0,,"32,716","52,280",85%,"30,852","49,824",86%,"1,864","2,456",76%,"1,864","2,456",76%,"19,393","30,786",87%,"7,632","13,622",81%,243,315,65%,,,,,,,910,"1,906",89%,"2,544","3,037",84%,130,158,85%,,,,,,,,,
Thailand,226,3,4,0,0,,5,15,0%,5,15,0%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uganda,0,,,0,0,,0,0,0%,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Africa,0,3,3,0,0,,2,4,100%,1,3,100%,1,1,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,1,28,43,0,0,,25,36,72%,24,35,71%,1,1,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Singapore,0,8,15,0,0,,204,263,59%,201,259,58%,3,4,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serbia,0,2,2,0,0,,71,90,80%,69,88,79%,2,2,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,0,125,161,0,0,,794,"1,089",45%,793,"1,089",45%,1,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russia,195,5,7,0,0,,15,26,0%,15,26,0%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qatar,0,1,6,0,0,,2,2,0%,2,2,0%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
