Country,Content Restricted,Preservation Requests,Preservation Accounts Preserved,Takedown reports,Percent Witheld,Internet Disruptions,Total Requests,Total Requests Accounts,Total Requests Percentage,Legal Process Request Total,Legal Process Request Total Accounts,Legal Process Request Total Percentage,Emergency Request Total,Emergency Request Total Accounts,Emergency Request Total Percentage,Emergency Disclosures,Emergency Disclosures Accounts,Emergency Disclosures Percentage,Search Warrant,Search Warrant Accounts,Search Warrant Percentage,Subpoena,Subpoena Accounts,Subpoena Percentage,Court Order (Other),Court Order (Other) Accounts,Court Order (Other) Percentage,MLAT Search Warrant,MLAT Search Warrant Accounts,MLAT Search Warrant Percentage,MLAT Order,MLAT Order Accounts,MLAT Order Percentage,Court Order (18 USC 2703(d)),Court Order (18 USC 2703(d)) Accounts,Court Order (18 USC 2703(d)) Percentage,Pen Register/Trap and Trace,Pen Register/Trap and Trace Accounts,Pen Register/Trap and Trace Percentage,Title III,Title III Accounts,Title III Percentage,FISA Content Requests,FISA Content Requests Accounts,FISA Content Requests Percentage,FISA Non-Content Requests,FISA Non-Content Requests Accounts,FISA Non-Content Requests Percentage,NSLs,NSLs Accounts,NSLs Percentage
Ethiopia,0,,,0,0,4,0,0,0%,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Syria,0,,,0,0,1,0,0,0%,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kazakhstan,0,,,0,0,1,0,0,0%,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zimbabwe,0,,,0,0,1,0,0,0%,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uzbekistan,0,,,0,0,1,0,0,0%,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mali,0,,,0,0,1,0,0,0%,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yemen,0,,,0,0,1,0,0,0%,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,0,,,0,0,1,0,0,0%,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Gambia,0,,,0,0,1,0,0,0%,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Democratic Republic of the Congo,0,,,0,0,1,0,0,0%,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,0,87,123,0,0,,5,8,40%,5,8,40%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ivory Coast,0,1,1,0,0,,1,1,0%,1,1,0%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,0,42,61,0,0,,380,551,78%,380,551,78%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,0,,,0,0,,1,1,0%,1,1,0%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,0,1,1,0,0,,1,1,0%,1,1,0%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japan,0,2,2,0,0,,4,5,25%,0,0,0%,4,5,25%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lebanon,0,,,0,0,,3,3,67%,0,0,0%,3,3,67%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Salvador,0,6,7,0,0,,3,3,33%,3,3,33%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indonesia,1,25,29,0,0,1,9,12,0%,7,10,0%,2,2,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,0,19,33,0,0,,172,216,53%,171,215,53%,1,1,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hong Kong,2,37,45,0,0,,131,158,58%,131,158,58%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,0,,,0,0,,1,1,100%,0,0,100%,1,1,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,0,,,0,0,,1,1,0%,1,1,0%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,0,2,3,0,0,,17,20,82%,17,20,82%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,0,18,24,0,0,,34,51,82%,34,51,82%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghana,0,,,0,0,,3,4,0%,3,4,0%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,0,36,99,0,0,,3,3,67%,0,0,0%,3,3,67%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,0,5,63,0,0,,4,6,75%,4,6,75%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Botswana,0,7,27,0,0,,1,3,0%,1,3,0%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
